PDI,Total Protein,Yield,RNA,Size,Method
1.648834281,104.749512,9.74E+10,695.96,143,ExCy
1.636463054,85.23096942,9.48E+10,702.9196,144,ExCy
1.727646594,72.21860768,9.61E+10,689.0004,143,ExCy
1.686167899,65.71242681,9.14E+10,709.8792,144,ExCy
1.387272119,208.848406,1.48E+11,464.12,138,ExCy
1.404064243,124.2680547,1.46E+11,468.7612,137,ExCy
1.44717683,176.3175016,1.46E+11,459.4788,130,ExCy
1.411752575,202.3422251,1.59E+11,473.4024,129,ExCy
1.776472129,137.2804164,9.06E+10,134.24,138,ExCy
2.098089351,182.8236825,8.98E+10,135.5824,138,ExCy
1.697685909,117.7618738,9.02E+10,132.8976,139,ExCy
1.465836218,124.2680547,8.93E+10,136.9248,140,ExCy
2.027667158,169.8113208,1.26E+11,346.56,144,ExCy
2.036622577,143.7865973,1.46E+11,350.0256,142,ExCy
2.02668589,150.2927781,1.36E+11,343.0944,155,ExCy
2.023927741,195.8360442,1.49E+11,353.4912,150,ExCy
1.662439005,254.3916721,1.19E+11,188.64,153,ExCy
1.538555257,293.4287573,1.32E+11,190.5264,151,ExCy
1.711663516,273.9102147,1.23E+11,186.7536,152,ExCy
1.707506593,234.8731295,1.14E+11,192.4128,153,ExCy
1.713666051,78.72478855,1.28E+11,190.36,170,ExCy
1.711663516,130.7742355,1.33E+11,192.2636,165,ExCy
1.707506593,59.20624593,1.30E+11,188.4564,165,ExCy
1.639563192,52.70006506,1.31E+11,194.1672,163,ExCy
1.487496182,371.5029278,1.44E+11,150.84,98,ExCy
1.536593364,358.490566,1.45E+11,152.3484,98,ExCy
1.508802897,358.490566,1.43E+11,149.3316,99,ExCy
1.537256242,345.4782043,1.44E+11,153.8568,97,ExCy
1.532353952,410.540013,5.00E+10,213.52,108,ExCy
1.501383111,378.0091087,5.19E+10,215.6552,108,ExCy
1.586166479,417.0461939,5.09E+10,211.3848,109,ExCy
1.569682653,371.5029278,5.04E+10,217.7904,108,ExCy
1.960401011,85.23096942,1.01E+11,888.96,130,ExCy
1.791059589,91.73715029,1.24E+11,897.8496,127,ExCy
1.860398365,104.749512,1.17E+11,880.0704,129,ExCy
1.878908391,59.20624593,1.06E+11,906.7392,130,ExCy
1.516132974,98.24333116,5.17E+10,492.2,131,ExCy
1.5364157,104.749512,5.04E+10,497.122,130,ExCy
1.525106964,72.21860768,5.10E+10,487.278,132,ExCy
1.525106964,85.23096942,5.31E+10,502.044,134,ExCy
1.604369855,163.3051399,1.58E+11,691.04,144,ExCy
1.679144949,169.8113208,1.66E+11,697.9504,145,ExCy
1.506896021,169.8113208,1.62E+11,684.1296,142,ExCy
1.492785602,143.7865973,1.73E+11,704.8608,141,ExCy
1.478037863,234.8731295,7.70E+09,181.44,198,FF
