ExoEasy,Fujifilm,UC,ExCy,Pathways
0,0,0,2,Regulation of APC/C activators between G1/S and early anaphase
0,0,0,2,p53-Dependent G1 DNA Damage Response
0,0,0,2,Hedgehog 'on' state
0,0,0,10,Transcriptional Regulation by TP53
0,0,0,2,p53-Dependent G1/S DNA damage checkpoint
0,0,0,13,Cell Cycle
0,0,0,5,p53-Independent DNA Damage Response
0,0,0,2,Regulation of TP53 Activity through Phosphorylation
0,0,0,2,Signaling by NOTCH
0,0,0,2,Intrinsic Pathway for Apoptosis
0,0,0,2,G1/S DNA Damage Checkpoints
0,0,0,2,Intracellular signaling by second messengers
0,0,0,2,Regulation of TP53 Activity
0,0,0,2,p53-Independent G1/S DNA damage checkpoint
0,0,0,2,Degradation of beta-catenin by the destruction complex
0,0,0,5,G1/S Transition
0,0,0,4,Cyclin A:Cdk2-associated events at S phase entry
0,0,0,2,Cyclin E associated events during G1/S transition
0,2,0,0,Signaling by PTK6
0,2,0,0,Signaling by Non-Receptor Tyrosine Kinases
0,2,0,0,TP53 Regulates Metabolic Genes
0,2,0,0,Signaling by Receptor Tyrosine Kinases
0,2,0,0,Negative regulation of the PI3K/AKT network
0,2,0,0,PI3K/AKT Signaling in Cancer
0,2,0,0,PI5P
5,3,1,15,Translation
11,11,4,9,GPCR downstream signalling
12,9,4,9,GPCR ligand binding
32,38,4,50,Disease
