"","logFC","logCPM","LR","PValue","FDR"
"ATP6V0B",2.28950892252572,6.79531193731807,24.6610840727202,6.83505054070815e-07,0.00546052187697174
"ICOSLG",4.48077917999385,3.10178781781169,16.6983969395515,4.38180091766297e-05,0.175031037656047
"IRF7",8.02639802553742,2.89483597296805,14.906441070165,0.000112976587210366,0.229868298104014
"HRK",1.60019255283875,6.80723312941509,14.2485553042078,0.000160183721691985,0.229868298104014
"PSMB4",-1.94752329900455,6.0474105553474,13.8792138012087,0.000194942605687585,0.229868298104014
"MPHOSPH10",-1.42728844172932,6.65060654204937,13.6224866193386,0.00022349247805081,0.229868298104014
"FDFT1",6.36051411918656,3.06183755219016,13.5038467338137,0.0002380749152383,0.229868298104014
"PPP2R2A",-1.0809585554645,7.53908861348021,13.3956327807035,0.000252210840436739,0.229868298104014
"VCX2",6.460553850624,1.59614617173356,13.3461196355471,0.00025895790248293,0.229868298104014
"SRSF8",-1.72667817407441,5.88885695960293,13.0540421102451,0.000302630571193827,0.241771563326748
"LGALS3BP",-1.429975764027,7.17799075130036,12.8371952016477,0.000339796577324521,0.246784986931418
"CXCR5",4.18927878131777,2.872681027028,12.2669106107771,0.000461060923239663,0.305123317698034
"RPS6KA4",-1.24739715246655,6.86763659797035,12.1287342261302,0.000496508089882895,0.305123317698034
"TMSB15A",-3.31367686344034,2.56896846934821,11.8821487238768,0.000566745198255823,0.312155701146394
"PEX14",1.4819501393375,6.24084765252238,11.7886725006906,0.000595922145639848,0.312155701146394
"CGREF1",-1.55730479959036,6.38319447437485,11.6844936216384,0.000630231363009793,0.312155701146394
"MDK",-2.32211987597544,5.37944854859515,11.5867213385072,0.000664244200712066,0.312155701146394
"RNU6-2",7.0054738125781,1.99677317448004,11.1068081667644,0.000860113904887998,0.38174722145279
"PHLDA2",-5.73769357626227,0.892342400185129,10.9855482324161,0.000918251150065387,0.386100444098546
"CHI3L2",0.967911635946835,7.43333786629853,10.5257816815333,0.00117720608686168,0.470234971396899
"EIF3D",-1.14537592298029,7.1370832042029,10.3678214248065,0.00128230777055493,0.480067351867946
"SNRNP70",1.08527798981768,7.17973466087289,10.3115486697309,0.00132200297172297,0.480067351867946
"AP2S1",1.68499061145685,6.0632839631777,9.94540406670932,0.00161251472026938,0.554994829854821
"FSTL3",1.32976651810931,6.36888386658031,9.86937978423703,0.00168052148676413,0.554994829854821
"GNL3",1.28214746485392,6.55459217256191,9.78605905475739,0.0017583992323375,0.554994829854821
"CD1B",-1.94900829400586,5.04779563295962,9.60090435029528,0.00194481564145828,0.554994829854821
"NGDN",-1.2224734946786,7.61176221122956,9.57268229567633,0.00197494020506797,0.554994829854821
"COMP",1.32839562528306,6.46557018739684,9.56914460854826,0.00197874959485847,0.554994829854821
"KLK10",1.47713289728639,5.88171403221018,9.48313530121819,0.00207369274272588,0.554994829854821
"EHD1",1.11477673572094,6.91515094143001,9.35696482895777,0.00222139701087539,0.554994829854821
"XIAP",1.38730974946932,6.36525913993865,9.33335766428215,0.00225019669086369,0.554994829854821
"NUDT1",1.47284033879898,6.00598286198838,9.32029874420028,0.00226629040538733,0.554994829854821
"NDUFAF1",-1.35319126627738,6.18484740264164,9.29922685007896,0.00229250586872063,0.554994829854821
"WAS",1.69141871312121,5.98006013013599,9.13474975195958,0.00250799762268226,0.583607782848037
"HLA-F",7.62250621810456,2.54973624445081,9.09133501523708,0.00256823336105771,0.583607782848037
"IFITM3",-1.78209221181866,6.04397206064835,9.01771754645774,0.00267375062211057,0.583607782848037
"MGP",1.71166530732026,5.555422694368,8.99789843202116,0.00270290248659123,0.583607782848037
"POLR1D",-0.871707216358278,7.80036772521052,8.8684504572165,0.00290141315846029,0.600025921096326
"TMEM97",1.43228068748491,5.69570071903607,8.85108077531596,0.00292915395202863,0.600025921096326
"DPAGT1",1.12151946217666,7.65899925796222,8.6561147866794,0.00325965587227678,0.65103476909048
"CYCS",1.42041305581893,6.14039514932717,8.53880487877378,0.00347653824862552,0.677416196787055
"KAT6B",-5.59381346317233,0.791447092288077,8.39794022578836,0.00375646415980739,0.714533146969078
"TUBA1A",1.78286687428574,6.43078370840638,8.30918157385634,0.00394451615444504,0.73285440832236
"PPP1R15A",1.66989376603734,5.61260740280843,8.20089702937898,0.00418696838787623,0.746930193738755
"VCX",3.92792742557084,2.83823353135375,8.19212243812752,0.00420726733236249,0.746930193738755
"ARG2",-1.73071367959907,5.44217086789908,7.92855173140434,0.00486607303655208,0.835900633162992
"PEX2",-1.36662069226078,6.12286906062181,7.90853616289496,0.00492020673714076,0.835900633162992
"ARMCX3",1.95163258840351,5.32458116205439,7.87138776234906,0.0050223094745054,0.835900633162992
"POLR3F",-0.948319098624546,7.32995246549209,7.73527816580053,0.00541522205452227,0.877283015048195
"CRYBA2",-1.76225135544953,5.53211611194411,7.71033098193646,0.00549056837556763,0.877283015048195
"NENF",-1.82266577944301,4.97409911893508,7.63134115163267,0.00573626321382563,0.884490558335425
"FBL",5.30303770625308,0.771699492285301,7.61512592339455,0.00578807170598054,0.884490558335425
"APTX",-0.691923912060321,8.48765852981752,7.59045364692127,0.00586781819899581,0.884490558335425
"NFASC",-0.64713531918486,8.47826798469077,7.41557511620967,0.00646616420021417,0.900534513723109
"CCS",1.24764440876609,6.7579180327151,7.40257497475302,0.00651305816527478,0.900534513723109
"ZNF232",-1.12107866455131,6.62160256654747,7.37802109374603,0.00660257815498838,0.900534513723109
"NPTX1",0.941628602235709,6.99834704858818,7.3600332060649,0.00666895600515338,0.900534513723109
"HEXIM1",1.9291554167468,4.429519594264,7.3262700177646,0.00679539295349957,0.900534513723109
"CBX4",-1.70873815616278,5.1078525782045,7.29468062036214,0.00691590627513971,0.900534513723109
"TFPT",6.19768968130529,1.33672392969739,7.2874432977566,0.00694382264416087,0.900534513723109
"KYNU",0.729263671110282,7.88008351792963,7.25108387079311,0.00708582296380277,0.900534513723109
